ID;Title;DOI;citation(in APA);year;venue;tool;manual analysis;custom tool description;tool justification/consequence;eyetracker;configuration eyetracker;study task;#participants;demographics;#items per participant;item type;item language;item scrolling;replication package;codes justification;codes consequence
S40;How Readable is Model-generated Code? Examining Readability and Visual Inspection of GitHub Copilot;http://dx.doi.org/10.1145/3551349.3560438;Madi, N. A. (2022). How Readable is Model-generated Code? Examining Readability and Visual Inspection of GitHub Copilot. How Readable Is Model-generated Code? Examining Readability and Visual Inspection of GitHub Copilot. https://doi.org/10.1145/3551349.3560438;2022;conference;/;/;"""Our tool generates token-level Areas Of Interest (AOIs) as shown
in Figure 1. With this, we can conduct a hit test to examine if
a fixation was over a token or not using the Eye-Movement in
Programming Toolkit (EMTK) [2]. This process is repeated until all
the fixations in the experiment were analyzed. With this procedure,
we were able to collect relevant eye movement data in a dynamic
and natural coding environment""";"""We developed our own tool for tracking eye movement in the VS
Code IDE. Since existing tools for eye tracking in IDEs such as
iTrace [21] do not yet support VS Code, and Copilot was only
available on VS Code during the time of our experiment.""";EyeLink 1000 Plus;1920*1080 pixel;collaborative;21;students;3;code snippet;Python;yes;https://osf.io/ghfqz/;;Copilot only available on VSCode
S41;A Gaze-Based Exploratory Study on the Information Seeking Behavior of Developers on Stack Overflow;http://dx.doi.org/10.1145/3290607.3312801;Peterson, C. S., Saddler, J. A., Halavick, N. M., & Sharif, B. (2019). A Gaze-Based Exploratory Study on the Information Seeking Behavior of Developers on Stack Overflow. A Gaze-Based Exploratory Study on the Information Seeking Behavior of Developers on Stack Overflow. https://doi.org/10.1145/3290607.3312801;2019;conference;iTrace (mapping eye gaze on meaningful elements);/;/;"""We used the eye tracking
infrastructure iTrace [3] (www.i-trace.org), that connects to an eye tracker and automatically maps
eye gaze on semantically meaningful elements in the code (if statements, identifiers ...) and in Stack Overflow (title, description, code, images, comments, etc...). This mapping works in the presence
of scrolling and context switching. Currently, iTrace is the only tool that can do this automatically.""";Tobii X-60;/;program comprehension;15;students;4;code snippet;Java;yes;no;mapping to meaningful elements, scrolling, only tool that can do this;
S42;Using Eye-Tracking to Unveil Differences Between Kids and Teens in Coding Activities;http://dx.doi.org/10.1145/3078072.3079740;Papavlasopoulou, S., Sharma, K., Giannakos, M. N., & Jaccheri, L. (2017). Using Eye-Tracking to Unveil Differences Between Kids and Teens in Coding Activities. Using Eye-Tracking to Unveil Differences Between Kids and Teens in Coding Activities. https://doi.org/10.1145/3078072.3079740;2017;conference;not named;Gaze similarity;/;/;4 SMI RED 250, 1 TOBII mobile;;collaborative;44;children;2;code snippet;Scratch;no;no;;
S43;An Eye Tracking Perspective on How Developers Rate Source Code Readability Rules;https://doi.org/10.1109/ASEW52652.2021.00037;Peterson, C. S., Park, K., Baysinger, I., & Sharif, B. (2021). An Eye Tracking Perspective on How Developers Rate Source Code Readability Rules. An Eye Tracking Perspective on How Developers Rate Source Code Readability Rules. https://doi.org/10.1109/asew52652.2021.00037;2021;conference;I-VT fixation filter (fixations), eyeCode (mapping);/;/;/;Tobii X60;/;program comprehension;14;9 undergraduates, 5 graduates;8;code snippet;Java;no;no;;
S44;The Examination Task of Source-code Debugging Using GP3 Eye Tracker;https://doi.org/10.1109/CogInfoCom47531.2019.9089952;Katona, J., Kovari, A., Costescu, C., Rosan, A., Hathazi, A., Heldal, I., Helgesen, C., Thill, S., & Demeter, R. (2019). The Examination Task of Source-code Debugging Using GP3 Eye Tracker. The Examination Task of Source-code Debugging Using GP3 Eye Tracker. https://doi.org/10.1109/coginfocom47531.2019.9089952;2019;conference;Ogama;/;/;"""The OGAMA (OpenGazeAndMouseAnalyzer) is an opensource application written in C# high-level programming
language, which was developed to track, record and examine
eye and mouse motion. The application, among others, can
store the data of different eye and mouse motions into a
database, whereas exporting helps different stats software packages to evaluate them. The software supports several eye
motion tracker units, including the Gazepoint GP3 to be used,
moreover, thanks to its open-source feature, we can easily
modify that according to our needs.""";GP3 Eye Tracker;"1920*1080 pixel, 22"" screen";debugging;16;students;1;code snippet;C#;no;no;support for several eye trackers, open-source, easily modifiable;
S45;An Eye Tracking Research on Debugging Strategies towards Different Types of Bugs;https://doi.org/10.1109/COMPSAC.2016.57;Peng, F., Li, C., Song, X., Hu, W., & Feng, G. (2016). An Eye Tracking Research on Debugging Strategies towards Different Types of Bugs. An Eye Tracking Research on Debugging Strategies Towards Different Types of Bugs. https://doi.org/10.1109/compsac.2016.57;2016;conference;Tobii Studio;/;/;/;Tobii X60;"1920*1080 pixel, 21,5"" screen, 50-70 cm distance";debugging;20;undergraduates;2;code snippet;Java;no;no;;
S46;Recognizing eye tracking traits for source code review;https://doi.org/10.1109/ETFA.2017.8247637;Chandrika, K., Amudha, J., & Sudarsan, S. D. (2017). Recognizing eye tracking traits for source code review. Recognizing Eye Tracking Traits for Source Code Review. https://doi.org/10.1109/etfa.2017.8247637;2017;conference;"PyGaze (fixation count, fixation duration,
saccade count and saccade duration)";"""To compute
the local eye tracking traits, a function was written that takes the
AOI starting (x,y) position, width and height of the AOI as input
and outputs the dwells and dwell time in the AOI. """;/;/;SMI Redn Professional;1366*768 pixel,;debugging;24;19 with programming skills, 5 without;4;code snippet;C#;no;no;;
S47;Eye-tracking analysis of source code reading on a line-by-line basis;https://doi.org/10.1145/3524488.3527364;Eye-tracking analysis of source code reading on a line-by-line basis. (2022, May 1). IEEE Conference Publication | IEEE Xplore. https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9808975;2022;conference;not named;/;/;/;/;/;program comprehension;40;36 students/novices, 4 experts;1;code snippet;C#;no;no;;
S48;Developing visual expertise in software engineering: An eye tracking study;https://doi.org/10.1109/EDUCON.2016.7474614;Nivala, M., Hauser, F., Mottok, J., & Gruber, H. (2016). Developing visual expertise in software engineering: An eye tracking study. Developing Visual Expertise in Software Engineering: An Eye Tracking Study. https://doi.org/10.1109/educon.2016.7474614;2016;conference;not named;/;/;/;SMI remote eye tracker;/;debugging;23;15 novices, 8 experts;8;code snippet;C;no;no;;
S49;An Eye-Tracking study of Java programmers and application to source code summarization;https://doi.org/10.1109/TSE.2015.2442238;Rodeghero, P., Liu, C., McBurney, P. W., & McMillan, C. (2015). An Eye-Tracking study of Java programmers and application to source code summarization. IEEE Transactions on Software Engineering, 41(11), 1038–1054. https://doi.org/10.1109/tse.2015.2442238;2015;journal;Ogama (gaze time, fixations, and regressions);/;/;/;Tobii TX300;"10 font size, 24"" screen";program comprehension;10;professionals;67;code snippet;Java;no;http://www3.nd.edu/~prodeghe/projects/eyesum/;;
S50;Gaze as a Proxy for Cognition and Communication;https://doi.org/10.1109/ICALT.2018.00043;Jermann, P., & Sharma, K. (2018). Gaze as a Proxy for Cognition and Communication. Gaze as a Proxy for Cognition and Communication. https://doi.org/10.1109/icalt.2018.00043;2018;conference;not named;/;/;/;Tobii 1750;/;collaborative;82;students;10;code snippet;Java;yes;no;;
S51;Tracking students’ cognitive processes during Program Debugging—An Eye-Movement approach;https://doi.org/10.1109/TE.2015.2487341;Lin, Y., Wu, C., Hou, T., Lin, Y., Yang, F., & Chang, C. (2016). Tracking students’ cognitive processes during Program Debugging—An Eye-Movement approach. IEEE Transactions on Education, 59(3), 175–186. https://doi.org/10.1109/te.2015.2487341;2016;journal;Data Viewer (ROI gaze sequences) (http://www.sr-research.com/);/;/;/;Eyelink 1000;1024*768 pixel, 86 cm distance;debugging;38;undergraduates;2;;C;no;no;;
S52;Eye Movements in Code Reading: Relaxing the Linear Order;https://doi.org/10.1109/ICPC.2015.36;Busjahn, T., Bednarik, R., Begel, A., Crosby, M. E., Paterson, J. H., Schulte, C., Sharif, B., & Tamm, S. (2015). Eye Movements in Code Reading: Relaxing the Linear Order. Eye Movements in Code Reading: Relaxing the Linear Order. https://doi.org/10.1109/icpc.2015.36;2015;conference;Ogama (recording data), EyeCode(mapping to line and word);NeedlemanWunsch (comparison between Story ORder and Execution Order);/;/;SMI RED-m remote eye tracker;/;program comprehension;20;14 novices, 6 professionals;novices 3, experts 6;code snippet;Java, natural language;no;no;;
S53;Predicting expertise among novice programmers with prior knowledge on programming tasks;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9306263;Predicting expertise among novice programmers with prior knowledge on programming tasks. (2020, December 7). IEEE Conference Publication | IEEE Xplore. https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9306263;2020;conference;Tobii Studio (fixations, Total Fixation Duration);/;/;/;Tobii X2-30C;/;program comprehension;60;undergraduates;12;code snippet;/;no;no;;
S54;Eyes on Code: A study on developers’ code navigation strategies;https://doi.org/10.1109/TSE.2020.3032064;Sharafi, Z., Bertram, I., Flanagan, M. J., & Weimer, W. (2022). Eyes on Code: A study on developers’ code navigation strategies. IEEE Transactions on Software Engineering, 48(5), 1692–1704. https://doi.org/10.1109/tse.2020.3032064;2022;journal;iTrace (fixations with I-VT algorithm);/;"""We formalize areas of interest in the source code files using a two-dimensional mask (or filter) on the screen (at a particular point in time) that selects relevant data. Instead of pixels, we use characters as the most basic spatial units. iTrace records the line and column numbers associated with a particular fixation. The position of a single character’s cell is defined by zero-indexed line and column numbers. We produce a 2D logical array describing the intersection between the subjects’ gaze and the code in the a specific source code file. Formally, each of our AOIs is a
rectangular bounding box around a set of characters. We compute an intermediate two-dimensional array of of fixation counts, correspond to the generated bounding boxes. We then apply Gaussian smoothing (smoothing parameter = 5.0) and thresholding to a matrix representing on-screen eye fixations to obtain a mask. The mask corresponds to areas in which substantial numbers of fixations occurred during a given period. This matrix-smoothing method is inspired by the approach of Caldara et al. [39], as implemented in their iMap4 tool [40]. We then further intersect the mask with the position of a stimulus to compute a set of areas in which the given stimulus was fixated on many times. The process is illustrated in Fig. 1. The first step is generating the gaze mask. Lighter circles in the left image show eye fixations. The middle image shows relevant code elements (horizontal lines), and the right image shows their intersection (with semantic code elements labeled via colors). The darkest line is over the package name, the next few lines all belong to the comment preceding the class definition, member variables, and so on. We use this technique as a filtering method. Fixations outside of these AOIs are assumed to be located over whitespace (as in the lower-right visual fixation in Fig. 1), or over areas that were not given enough attention to be significant to software engineering behavior and decisions. Such fixations are removed from further analysis."" (AOI)";"""Existing eye-tracking software, such as iTrace [35], [36],
supports scrolling, and some other navigation features, but
do not support edits to the code. Also, iTrace plugin collects
eye gaze data only within the IDE code window."" ""The iTrace plugin collected eye gaze data only within
Eclipse code pane (window). Thus, we do not have any
records of developers’ eye movements when they use other
parts of the IDE"" ""Our analysis is based on automatically inferring AOIs. A
possible threat is that our inference approach could be inaccurate. To partially mitigate this threat, we manually analyzed a sample of the participants’ data and the extracted
AOIs for validity and determined them to be reasonable,
acknowledging that an assessment by the authors does not
give as much confidence as a full independent assessment
or replication""";Tobii Pro X3-120;"70 cm distance, 27"" screen, 1920*1080 pixel";debugging;36;20 undergraduates, 16 MsC/PhD;1;code snippet;Java;yes;https://web.eecs.umich.edu/~weimerw/data/navigation-behavior/;;no support for edits, collection of data only in IDE window, automatically calculated AIO could be false
S55;Investigating the Effect of Polyglot Programming on Developers;https://doi.org/10.1109/VL/HCC51201.2021.9576404;Peterson, C. S. (2021). Investigating the Effect of Polyglot Programming on Developers. Investigating the Effect of Polyglot Programming on Developers. https://doi.org/10.1109/vl/hcc51201.2021.9576404;2021;conference;/;/;/;/;/;/;debugging;31;15 non-professionals, 16 professionals;6;code snippet;SQL, not named;/;no;;
S56;Task-oriented Analysis on Debugging Process Based on Eye Movements and IDE Interactions;https://doi.org/10.1109/ICCSE51940.2021.9569438;Li, X., Liu, W., Liu, H., Xu, J., & Cheng, W. (2021). Task-oriented Analysis on Debugging Process Based on Eye Movements and IDE Interactions. Task-oriented Analysis on Debugging Process Based on Eye Movements and IDE Interactions. https://doi.org/10.1109/iccse51940.2021.9569438;2021;conference;iTrace (fixations);/;/;/;Tobii EyeX;/;debugging;13;postgraduates;1;code snippet;C;yes;no;;
S57;EEG activities during Program Comprehension: An Exploration of Cognition;https://doi.org/10.1109/ACCESS.2021.3107795;Yang, L., Liao, Y., Hu, X., & Wu, C. (2021). EEG activities during Program Comprehension: An Exploration of Cognition. IEEE Access, 9, 120407–120421. https://doi.org/10.1109/access.2021.3107795;2021;journal;eye tracker package (probably Tobii Studio) (eye gaze to ROI);/;/;/;Tobii X120;52*29 cm screen;program comprehension;33;undergraduates;2;code snippet;C;/;no;;
S58;Spotting Problematic Code Lines using Nonintrusive Programmers' Biofeedback;https://doi.org/10.1109/ISSRE.2019.00019;Couceiro, R., Carvalho, P., Castelo-Branco, M., Madeira, H., Barbosa, R., Duraes, J., Duarte, G., Castelhano, J., Duarte, C., Teixeira, C., Laranjeiro, N., & Medeiros, J. (2019). Spotting Problematic Code Lines using Nonintrusive Programmers’ Biofeedback. Spotting Problematic Code Lines Using Nonintrusive Programmers’ Biofeedback. https://doi.org/10.1109/issre.2019.00019;2019;conference;/;"""To achieve these objective the first step was the preprocessing of the POR data. Firstly, the x-y coordinates of the
POR were down sampled to 10 Hz. Secondly, although there
is a calibration step of the eye tracker prior to the beginning of
each task, it was observed that some POR data was still
displaced. In order to correct this displacement, the POR data
was shifted with an increment corresponding to the difference
(in the x and y axis) between the median of the POR values
during the fixation of the calibration cross and the actual
calibration cross. The third step of the pre-processing stage
was the removal of the POR values that laid outside the code
snipped area. This was accomplished by defining the contour
of the code snippet (with an offset) and identifying all POR
values inside this region""";/;/;SMI Senso Motoric Instruments;/;program comprehension;30;12 intermediate, 14 advanced, 4 experts;3;code snippet;Java;no;no;;
S59;Quality evaluation of modern code reviews through intelligent biometric program comprehension;https://doi.org/10.1109/TSE.2022.3158543;Hijazi, H., Duraes, J., Couceiro, R., Castelhano, J., Barbosa, R., Medeiros, J., Castelo-Branco, M., Carvalho, P., & Madeira, H. (2023). Quality evaluation of modern code reviews through intelligent biometric program comprehension. IEEE Transactions on Software Engineering, 49(2), 626–645. https://doi.org/10.1109/tse.2022.3158543;2023;journal;not named;/;/;/;SMI eye tracker;/;debugging;21;18 MSc/PhD, 3 industry;4;code snippet;C;no;https://github.com/HaythamHijazi/Supplement;;
S60;Assessing Students’ Behavior in Error Finding Programming Tests: An Eye-Tracking Based Approach;https://doi.org/10.1109/TALE48000.2019.9225906;Li, X., Liu, W., Wang, W., Zhong, J., & Yu, M. (2019). Assessing Students’ Behavior in Error Finding Programming Tests: An Eye-Tracking Based Approach. Assessing Students’ Behavior in Error Finding Programming Tests: An Eye-Tracking Based Approach. https://doi.org/10.1109/tale48000.2019.9225906;2019;conference;I-VT filter (fixations/saccades);/;/;/;Tobii eye tracker;/;debugging;15;undergraduates;4;code snippet;C;no;no;;
S61;Modeling of cognitive processes based on gaze transition during programming debugging;https://doi.org/10.1109/LifeTech52111.2021.9391940;Kano, T., Sakagami, R., & Akakura, T. (2021). Modeling of cognitive processes based on gaze transition during programming debugging. 2021 IEEE 3rd Global Conference on Life Sciences and Technologies (LifeTech). https://doi.org/10.1109/lifetech52111.2021.9391940;2021;conference;not named;/;/;/;Tobii 4C;;debugging;15;students;10;code snippet;/;/;no;;
S62;Studying Developer Reading Behavior on Stack Overflow during API Summarization Tasks;https://doi.org/10.1109/SANER48275.2020.9054848;Saddler, J. A., Peterson, C. S., Sama, S., Nagaraj, S., Baysal, O., Guerrouj, L., & Sharif, B. (2020). Studying Developer Reading Behavior on Stack Overflow during API Summarization Tasks. Studying Developer Reading Behavior on Stack Overflow During API Summarization Tasks. https://doi.org/10.1109/saner48275.2020.9054848;2020;conference;iTrace (fixations) (Olsson fixation filter);/;/;"""plugin has been effectively used for determining feasibility of
deriving traceability links between code and bug reports using
gaze [24] and for large realistic program comprehension [14]
studies. iTrace is able to automatically map the eye gazes
to semantically meaningful elements on Stack Overflow (and
source code). """;Tobii X60;/;program comprehension;30;MSc/PhD;4;code snippet;Java;yes;http://seresl.unl.edu/SANER2020;effectively used for deriving traceability links, mapping to meaningful elements;
S63;Towards a tool for visualizing pupil dilation linked with source code artifacts;https://doi.org/10.1109/VISSOFT51673.2020.00016;Ioannou, C., Bakgaard, P., Kindler, E., & Weber, B. (2020). Towards a tool for visualizing pupil dilation linked with source code artifacts. Towards a Tool for Visualizing Pupil Dilation Linked With Source Code Artifacts. https://doi.org/10.1109/vissoft51673.2020.00016;2020;conference;iTrace (link gaze point to software artifact, AOI);"""a velocity-based threshold algorithm similar to the ones described in [28] and obtained a time series of labelled gaze data"" (fixations) ""Estimate pupil dilation
Once we filtered the pupil diameter measurements, we
continued to estimate the pupil dilations. First, the average
pupil diameter for each fixation was calculated and then
we subtracted the grand mean of all fixations average pupil
diameters, resulting in the pupil dilation for each fixation."" (pupil dilation)";/;"""iTrace captures eye tracking
data and links them to software artifacts while developer
navigate and read source code. These data enable the link
of a gaze point (x,y) to the respective source code element
including the line and column number that developer looked
at, they entail a timestamp (eye trackers’ timestamp) and also
the pupil diameter""";Tobii 300X;"23"" screen, 14 font size, 60 cm distance";program comprehension;8;academic background in CS or related;5;code snippet;Java;yes;no;mapping to meaningful elements;
S64;Assessing perceived sentiment in pull requests with emoji: Evidence from tools and developer Eye Movements;https://doi.org/10.1109/SEmotion52567.2021.00009;Park, K., & Sharif, B. (2021). Assessing Perceived Sentiment in Pull Requests with Emoji: Evidence from Tools and Developer Eye Movements. Assessing Perceived Sentiment in Pull Requests With Emoji: Evidence From Tools and Developer Eye Movements. https://doi.org/10.1109/semotion52567.2021.00009;2021;conference;iTrace Core + Chrome Plugin (data), I-VT fixation filter (fixations);/;/;/;Tobii Pro TX300;/;debugging;6;2 undergraduates, 2 graduates, 2 professionals;24;pull requests;JS, CoffeeScript, Ruby, ...;yes;https://zenodo.org/record/4602631;;
S65;“I just looked for the solution!”On Integrating Security-Relevant Information in Non-Security API Documentation to Support Secure Coding Practices;https://doi.org/10.1109/TSE.2021.3094171;Gorski, P. L., Möller, S., Wiefling, S., & Lo Iacono, L. (2022). “I just looked for the solution!”On Integrating Security-Relevant Information in Non-Security API Documentation to Support Secure Coding Practices. IEEE Transactions on Software Engineering, 48(9), 3467–3484. https://doi.org/10.1109/tse.2021.3094171;2022;journal;iMotions7 (data, fixations);/;/;/;Gazepoint GP3 HD;/;program comprehension;49;students;4;code snippet;Go;yes;no;;
S66;Using Eye- Tracking to Examine Query Syntax and Method Syntax Comprehension in LINQ;https://doi.org/10.1109/CogInfoCom50765.2020.9237910;Katona, J., Kovari, A., Heldal, I., Costescu, C., Rosan, A., Demeter, R., Thill, S., & Stefanut, T. (2020). Using Eye- Tracking to Examine Query Syntax and Method Syntax Comprehension in LINQ. Using Eye- Tracking to Examine Query Syntax and Method Syntax Comprehension in LINQ. https://doi.org/10.1109/coginfocom50765.2020.9237910;2020;conference;Ogama (fixations, saccades);/;/;"""as well as the OGAMA
(OpenGazeAndMouseAnalyter) software package were applied
that were also used successfully in [60-66] research.""";Gazepoint GP3;"1920*1080 pixel, 22"" screen";program comprehension;34;students;10;code snippet;LINQ;no;no;successful in research;
S67;Do structured flowcharts outperform pseudocode? Evidence from eye movements;https://doi.org/10.1109/ACCESS.2022.3230981;Andrzejewska, M., & Stolińska, A. (2022). Do structured flowcharts outperform pseudocode? Evidence from eye movements. IEEE Access, 10, 132965–132975. https://doi.org/10.1109/access.2022.3230981;2022;journal;SMI BeGaze 2.4 (Key Performance Indicators (KPIs));/;/;/;SMI iViewX Hi-Speed;"1920*1080 pixel, 23"" screen";;114;students;12;flowcharts/pseudocode snippet;pseudocode;no;no;;
S68;Impact of the visitor pattern on program comprehension and maintenance;10.1109/ESEM.2009.5316015;Jeanmart, S., Guéhéneuc, Y., Sahraoui, H., & Habra, N. (2009). Impact of the visitor pattern on program comprehension and maintenance. Impact of the Visitor Pattern on Program Comprehension and Maintenance. https://doi.org/10.1109/esem.2009.5316015;2009;conference;not named;/;/;/;EyeLink II;/;program comprehension;24;17 graduate, 7 postgraduate;6;UML class diagram;/;no;http://www.ptidej.net/downloads/experiments/esem09/ (not available anymore);;
S69;TAUPE: towards understanding program comprehension;https://doi.org/10.1145/1188966.1188968;Guéhéneuc, Y. (2006). TAUPE. TAUPE: Towards Understanding Program Comprehension. https://doi.org/10.1145/1188966.1188968;2006;conference;TAUPE (AOI mapping), not named (fixations, saccades);/;/;"""We introduce a new visualisation technique to aggregate and to present the collected
data"" (TAUPE)";EyeLink II;/;program comprehension;12;graduate students;2;UML class diagram;/;no;no;new visualization technique;
S70;Understanding collaborative program comprehension: interlacing gaze and dialogues;https://repository.isls.org/bitstream/1/1944/1/430-437.pdf;Sharma, K. (2013). Understanding collaborative program comprehension: interlacing gaze and dialogues. repository.isls.org. https://doi.org/10.22318/cscl2013.1.430;2013;conference;not named;Gaze Tokens, Gaze Transitions, Gaze Episodes;/;/;Tobii 1750;/;collaborative;32;students;10;code snippet;Java;no;no;;
S71;Eye-Tracking the factors of process model comprehension tasks;https://doi.org/10.1007/978-3-642-38709-8_15;Petrusel, R., & Mendling, J. (2013). Eye-Tracking the factors of process model comprehension tasks. In Springer eBooks (pp. 224–239). https://doi.org/10.1007/978-3-642-38709-8_15;2013;conference;not named;/;/;/;fixed-head eye tracker by Arrington Research;/;comprehension (non-code);26;professionals;5;BPMN diagram;/;no;no;;
S72;Analysis of code reading to gain more insight in program comprehension;https://doi.org/10.1145/2094131.2094133;Busjahn, T., Schulte, C., & Busjahn, A. (2011). Analysis of code reading to gain more insight in program comprehension. Analysis of Code Reading to Gain More Insight in Program Comprehension. https://doi.org/10.1145/2094131.2094133;2011;conference;Tobii Studio 2.0.6;"""Tobii Studio did not provide a sufficient analysis module, therefore a series of evaluation software had to be developed. Merely
time, coordinates and duration of fixations were exported from
Tobii Studio and processed with Matlab 7.4. In order to map the
fixations to a word, the coordinates of the word have to be
known, but manual capture of over 1000 words is barely feasible. So a tool was implemented using ImageJ, which identified
the word's coordinates from an image containing the word's
location on the screen and the stimulus text. """;/;"""Tobii Studio did not provide a sufficient analysis module, therefore a series of evaluation software had to be developed.""";Tobii T120;"17"" screen";program comprehension;15;novices to experts;11;code snippet;Java;no;no;;no sufficient analysis module
S73;An eye tracking study on the effects of layout in understanding the role of design patterns;https://doi.org/10.1109/ICSM.2010.5609582;Sharif, B., & Maletic, J. I. (2010). An eye tracking study on the effects of layout in understanding the role of design patterns. An Eye Tracking Study on the Effects of Layout in Understanding the Role of Design Patterns. https://doi.org/10.1109/icsm.2010.5609582;2010;conference;"ClearView ""software that
comes with the eye tracker""";/;/;/;Tobii 1750;"17"" screen, 1024*768 pixel, 60 cm distance";program comprehension;12;7 undergraduates, 6 graduates, 2 faculty members;8;UML class diagram;/;no;no;;
S74;Assessing the Comprehension of UML Class Diagrams via Eye Tracking;https://doi.org/10.1109/ICPC.2007.10;Yusuf, S., Kagdi, H., & Maletic, J. I. (2007). Assessing the Comprehension of UML Class Diagrams via Eye Tracking. Assessing the Comprehension of UML Class Diagrams via Eye Tracking. https://doi.org/10.1109/icpc.2007.10;2007;conference;"""Software that records the
XY screen coordinates of eye gazes and supports analysis
of eye movements is also provided along with the eyetracker system.""";/;/;/;Tobii 1750;"17"" screen, 1024*768 pixel, 60 cm distance";program comprehension;12;3 non CS graduates, 3 faculty, 4 PhD, 1 MSc, 1 undergraduate;27;UML class diagram;/;no;no;;
S75;"Women and men &amp;#x2014; Different but equal: On the impact of identifier style on source code reading";https://doi.org/10.1109/ICPC.2012.6240505;"Sharafi, Z., Soh, Z., Guéhéneuc, Y., & Antoniol, G. (2012). Women and men &#x2014; Different but equal: On the impact of identifier style on source code reading. Women and Men — Different but Equal: On the Impact of Identifier Style on Source Code Reading. https://doi.org/10.1109/icpc.2012.6240505";2012;conference;Taupe (AOI mapping), Gaze Tracker (data);/;/;"""We defined
the Areas Of Interest (AOI) on the stimuli and the subjects
characteristics. Then, Taupe provided the results in CSV files
that we exported to R [27] to apply statistic analyses.""";FaceLAB;"27"" screen, 70 cm distance, 1920*1080 pixel";program comprehension;26;students;3;code snippet;Java;no;no;;
S76;Professional status and expertise for UML class diagram comprehension: An empirical study;https://doi.org/10.1109/ICPC.2012.6240484;Soh, Z., Sharafi, Z., Van Den Plas, B., Porras, G. C., Guéhéneuc, Y., & Antoniol, G. (2012). Professional status and expertise for UML class diagram comprehension: An empirical study. Professional Status and Expertise for UML Class Diagram Comprehension: An Empirical Study. https://doi.org/10.1109/icpc.2012.6240484;2012;conference;Taupe (AOI mapping);/;/;"""Then,Taupe provided the results of preprocessing in CSV files that
we used into R [13] to apply statistical tests. """;EyeLink II;/;program comprehension;21;12 students, 9 pratictioners;3;UML class diagram;/;no;http://www.ptidej.net/download/experiments/icpc12a/ (not available anymore);;
S77;An empirical study on the efficiency of graphical vs. textual representations in requirements comprehension;https://doi.org/10.1109/ICPC.2013.6613831;Sharafi, Z., Marchetto, A., Susi, A., Antoniol, G., & Gueheneuc, Y. (2013). An empirical study on the efficiency of graphical vs. textual representations in requirements comprehension. An Empirical Study on the Efficiency of Graphical Vs. Textual Representations in Requirements Comprehension. https://doi.org/10.1109/icpc.2013.6613831;2013;conference;Taupe (AOI mapping, convex hull sizes), Gaze Tracker (data);/;/;"""We use Taupe [21] to analyse the
collected data. Taupe provides the results about fixations and
time for each AOI as well as AFDs and convex hull sizes in
CSV files that we export to R [22] to perform statistic analyses""";FaceLAB;"27"" screen, 70 cm distance, 1920*1080 pixel";program comprehension;28;2 BSc, 11 MSc, 15 PhD;;TROPOS diagrams;/;no;upon request;;
S78;Capturing software traceability links from developers' eye gazes;https://doi.org/10.1145/2597008.2597795;Walters, B., Shaffer, T., Sharif, B., & Kagdi, H. (2014). Capturing software traceability links from developers’ eye gazes. Capturing Software Traceability Links From Developers’ Eye Gazes. https://doi.org/10.1145/2597008.2597795;2014;conference;iTrace (data), GazeReader with SimpleGraph Gaze-Link algorithm (task-to-source entity links), will be integrated into iTrace in future work;/;/;"""iTrace only collects eye gaze data when
the Eclipse window is in focus. We asked subjects not to resize
the Eclipse window to maintain the same full screen setup for all
subjects."" ""Eye-tracking systems are particularly difficult when it comes to
scrolling files larger than what fits on the screen. For example,
Ali et al. [1] state that they use short segments of source code for
their study to have better control over the eye-tracking system. Our
environment does not have this limitation. iTrace supports scrolling
both horizontally and vertically while maintaining the context of
what the developer is actually looking at. iTrace correctly records
the SCE that the developer is looking at as long as code folding is
left off. To the best of our knowledge, iTrace is the first eye tracking
environment that is able to achieve this accuracy with scrolling.
""";Tobii X60;"24"" screen,";traceability;8;faculty and students;5;code snippet;Java;yes;http://www.csis.ysu.edu/~bsharif/itrace-pilot (not working anymore);scrolling;collection of data only in IDE window
S79;An empirical study on the efficiency of different design pattern representations in UML class diagrams;https://doi.org/10.1007/s10664-009-9125-9;Porras, G. C., & Guéhéneuc, Y. (2010). An empirical study on the efficiency of different design pattern representations in UML class diagrams. Empirical Software Engineering, 15(5), 493–522. https://doi.org/10.1007/s10664-009-9125-9;2010;journal;not named (fixations, saccades);/;/;/;EyeLink II;"17"" screen";program comprehension;24;students;3;UML class diagram;/;no;exists, link not found;;
S80;The impact of identifier style on effort and comprehension;https://doi.org/10.1007/s10664-012-9201-4;Binkley, D., Davis, M. H., Lawrie, D., Maletic, J. I., Morrell, C. H., & Sharif, B. (2012). The impact of identifier style on effort and comprehension. Empirical Software Engineering, 18(2), 219–276. https://doi.org/10.1007/s10664-012-9201-4;2012;journal;not named (fixations, saccades);/;/;/;Tobii 1750;"17"" screen, 1024*768 pixel, 11 font size";program comprehension;169;students;9;code snippet;C++, natural language;no;no;;
